FIPS,Total,Count,CountyName,StateAbbv,State
01089,$120.00,6,Madison,AL,Alabama
02020,$250.00,1,Anchorage,AK,Alaska
04013,"$2,362.64",59,Maricopa,AZ,Arizona
04019,$296.00,13,Pima,AZ,Arizona
04021,$120.00,6,Pinal,AZ,Arizona
05007,"$1,000.00",1,Benton,AR,Arkansas
05143,$250.00,1,Washington,AR,Arkansas
06001,"$20,500.00",16,Alameda,CA,California
06013,"$2,500.00",11,Contra Costa,CA,California
06017,$15.00,1,El Dorado,CA,California
06029,$215.50,15,Kern,CA,California
06037,"$112,864.00",136,Los Angeles,CA,California
06041,"$22,606.00",31,Marin,CA,California
06055,$81.50,6,Napa,CA,California
06059,$285.00,16,Orange,CA,California
06065,$360.00,8,Riverside,CA,California
06067,"$11,650.00",5,Sacramento,CA,California
06073,"$5,335.00",19,San Diego,CA,California
06075,"$39,155.00",43,San Francisco,CA,California
06077,$25.00,1,San Joaquin,CA,California
06081,"$99,586.00",65,San Mateo,CA,California
06083,"$4,388.00",2,Santa Barbara,CA,California
06085,"$46,743.00",54,Santa Clara,CA,California
06087,"$3,500.00",3,Santa Cruz,CA,California
06097,"$21,025.00",25,Sonoma,CA,California
06099,$900.00,12,Stanislaus,CA,California
06101,"$10,000.00",4,Sutter,CA,California
06111,$795.00,5,Ventura,CA,California
06113,$75.00,2,Yolo,CA,California
08031,"$3,622.50",24,Denver,CO,Colorado
08059,$210.00,1,Jefferson,CO,Colorado
08109,$445.00,13,Saguache,CO,Colorado
08123,$250.00,1,Weld,CO,Colorado
09001,"$37,038.00",100,Fairfield,CT,Connecticut
09003,"$1,000.00",7,Hartford,CT,Connecticut
09005,"$3,200.00",4,Litchfield,CT,Connecticut
09009,"$1,839.50",5,New Haven,CT,Connecticut
09011,$75.00,3,New London,CT,Connecticut
09015,$250.00,7,Windham,CT,Connecticut
10003,"$1,550.00",4,New Castle,DE,Delaware
10005,$150.00,2,Sussex,DE,Delaware
11001,"$46,735.00",51,District of Columbia,DC,District Of Columbia
12011,"$5,005.00",3,Broward,FL,Florida
12015,$15.00,1,Charlotte,FL,Florida
12019,"$1,800.00",1,Clay,FL,Florida
12021,"$5,150.00",8,Collier,FL,Florida
12031,$512.50,2,Duval,FL,Florida
12057,$285.00,10,Hillsborough,FL,Florida
12069,$368.00,19,Lake,FL,Florida
12071,"$1,000.00",2,Lee,FL,Florida
12086,"$11,832.50",9,Miami-Dade,FL,Florida
12087,"$6,600.00",2,Monroe,FL,Florida
12099,"$3,898.00",7,Palm Beach,FL,Florida
12115,"$2,500.00",12,Sarasota,FL,Florida
13073,$250.00,1,Columbia,GA,Georgia
13089,"$1,398.50",13,DeKalb,GA,Georgia
13121,"$2,112.00",20,Fulton,GA,Georgia
13135,$100.00,1,Gwinnett,GA,Georgia
13247,$75.00,6,Rockdale,GA,Georgia
15003,$73.00,2,Honolulu,HI,Hawaii
15009,"$3,000.00",2,Maui,HI,Hawaii
16001,$50.00,2,Ada,ID,Idaho
17031,"$10,300.00",7,Cook,IL,Illinois
17043,$828.00,22,DuPage,IL,Illinois
17097,"$3,800.00",2,Lake,IL,Illinois
17119,$252.50,2,Madison,IL,Illinois
18023,$60.00,2,Clinton,IN,Indiana
18097,$300.00,6,Marion,IN,Indiana
19169,$160.50,10,Story,IA,Iowa
20091,$600.00,6,Johnson,KS,Kansas
21067,$10.00,1,Fayette,KY,Kentucky
21111,"$6,600.00",2,Jefferson,KY,Kentucky
22017,$150.00,2,Caddo,LA,Louisiana
22033,$23.50,3,East Baton Rouge,LA,Louisiana
23005,$869.00,10,Cumberland,ME,Maine
23013,$137.50,6,Knox,ME,Maine
23031,$220.00,8,York,ME,Maine
24003,"$1,000.00",1,Anne Arundel,MD,Maryland
24005,"$1,310.01",15,Baltimore,MD,Maryland
24031,"$28,941.68",28,Montgomery,MD,Maryland
24033,$750.00,3,Prince George's,MD,Maryland
24041,$50.00,1,Talbot,MD,Maryland
24510,$25.00,1,Baltimore,MD,Maryland
25005,"$1,500.00",2,Bristol,MA,Massachusetts
25007,$25.00,1,Dukes,MA,Massachusetts
25009,"$2,552.50",6,Essex,MA,Massachusetts
25017,"$61,777.50",75,Middlesex,MA,Massachusetts
25021,"$28,895.00",44,Norfolk,MA,Massachusetts
25023,$250.00,1,Plymouth,MA,Massachusetts
25025,"$30,942.00",35,Suffolk,MA,Massachusetts
25027,$365.00,5,Worcester,MA,Massachusetts
26047,$247.50,4,Emmet,MI,Michigan
26073,$255.00,4,Isabella,MI,Michigan
26081,$55.00,2,Kent,MI,Michigan
26099,"$1,000.00",1,Macomb,MI,Michigan
26121,$105.00,6,Muskegon,MI,Michigan
26125,"$7,450.00",19,Oakland,MI,Michigan
26149,$150.00,2,St. Joseph,MI,Michigan
26163,$25.00,1,Wayne,MI,Michigan
27053,$50.00,1,Hennepin,MN,Minnesota
27123,$300.00,2,Ramsey,MN,Minnesota
27139,"$1,000.00",2,Scott,MN,Minnesota
28089,$300.00,3,Madison,MS,Mississippi
29165,$75.00,3,Platte,MO,Missouri
29189,$75.00,3,St. Louis,MO,Missouri
30013,$225.00,8,Cascade,MT,Montana
30063,$25.00,1,Missoula,MT,Montana
31109,$547.00,26,Lancaster,NE,Nebraska
32003,"$14,200.00",5,Clark,NV,Nevada
33003,$250.00,1,Carroll,NH,New Hampshire
33009,$362.50,6,Grafton,NH,New Hampshire
33011,"$1,500.00",1,Hillsborough,NH,New Hampshire
33015,"$1,500.00",1,Rockingham,NH,New Hampshire
34003,"$46,450.00",34,Bergen,NJ,New Jersey
34005,$412.50,39,Burlington,NJ,New Jersey
34013,"$7,600.00",12,Essex,NJ,New Jersey
34017,"$2,500.00",5,Hudson,NJ,New Jersey
34019,"$1,176.00",9,Hunterdon,NJ,New Jersey
34021,"$3,500.00",4,Mercer,NJ,New Jersey
34023,"$1,175.00",10,Middlesex,NJ,New Jersey
34027,"$18,535.00",30,Morris,NJ,New Jersey
34029,$60.00,6,Ocean,NJ,New Jersey
34035,"$4,300.00",3,Somerset,NJ,New Jersey
34039,$500.00,1,Union,NJ,New Jersey
35049,"$1,175.00",8,Santa Fe,NM,New Mexico
36001,"$47,455.50",99,Albany,NY,New York
36005,"$18,745.00",14,Bronx,NY,New York
36007,$529.00,6,Broome,NY,New York
36009,$250.00,1,Cattaraugus,NY,New York
36013,$500.00,1,Chautauqua,NY,New York
36015,"$31,365.00",21,Chemung,NY,New York
36019,$500.00,1,Clinton,NY,New York
