count	cycle	state	state_full	total	zip	Lat	Long
2	2024	HI	Hawaii	$3,000.00	96708	20.852389	-156.223562
2	2024	HI	Hawaii	$73.00	96813	21.316548	-157.845053
2	2024	FL	Florida	$6,600.00	33040	24.560908	-81.889478
3	2024	FL	Florida	$32.50	33031	25.524982	-80.500875
1	2024	FL	Florida	$1,000.00	33109	25.756717	-80.140066
1	2024	FL	Florida	$2,500.00	33131	25.766206	-80.182897
1	2024	FL	Florida	$400.00	33139	25.779808	-80.1532
1	2024	FL	Florida	$1,300.00	33140	25.819714	-80.133711
2	2024	FL	Florida	$6,600.00	33154	25.883337	-80.131831
6	2024	FL	Florida	$150.00	34114	25.943846	-81.538206
1	2024	FL	Florida	$5.00	33323	26.151721	-80.320963
2	2024	FL	Florida	$5,000.00	33065	26.274498	-80.2604
2	2024	FL	Florida	$5,000.00	34110	26.300417	-81.78846
1	2024	FL	Florida	$2,000.00	33432	26.343902	-80.082735
1	2024	FL	Florida	$1,000.00	33483	26.462644	-80.061718
2	2024	FL	Florida	$1,000.00	33921	26.772225	-82.252804
3	2024	FL	Florida	$98.00	33408	26.840483	-80.052158
2	2024	FL	Florida	$800.00	33418	26.872713	-80.165712
1	2024	FL	Florida	$15.00	33983	27.009117	-82.017871
1	2024	FL	Florida	$250.00	34293	27.025247	-82.346959
7	2024	FL	Florida	$2,175.00	34236	27.316487	-82.553527
4	2024	FL	Florida	$75.00	34234	27.368298	-82.543091
2	2024	FL	Florida	$100.00	33547	27.789947	-82.135828
2	2024	FL	Florida	$35.00	33618	28.074807	-82.498405
6	2024	FL	Florida	$150.00	33647	28.126958	-82.354093
1	2024	TX	Texas	$50.00	78102	28.407712	-97.71062
19	2024	FL	Florida	$368.00	34748	28.768405	-81.882911
2	2024	TX	Texas	$275.00	77551	29.278188	-94.83329
5	2024	TX	Texas	$5,250.00	78209	29.488906	-98.456235
1	2024	TX	Texas	$1,000.00	78217	29.538074	-98.415198
1	2024	TX	Texas	$53.00	78249	29.565311	-98.612104
36	2024	TX	Texas	$652.00	77479	29.566996	-95.636016
1	2024	TX	Texas	$500.00	77478	29.620312	-95.605693
6	2024	TX	Texas	$11,300.00	77401	29.704019	-95.460905
2	2024	TX	Texas	$1,250.00	77030	29.706787	-95.401748
2	2024	TX	Texas	$1,200.00	77081	29.712099	-95.480935
9	2024	TX	Texas	$3,825.00	77027	29.740079	-95.446409
1	2024	TX	Texas	$25.00	77006	29.74097	-95.391301
3	2024	TX	Texas	$70.00	77019	29.75415	-95.409498
6	2024	TX	Texas	$6,600.00	77024	29.772179	-95.514203
1	2024	FL	Florida	$1,800.00	32003	30.095584	-81.710162
1	2024	FL	Florida	$500.00	32223	30.156644	-81.649266
1	2024	FL	Florida	$12.50	32256	30.175204	-81.472784
1	2024	TX	Texas	$3,300.00	78744	30.176044	-97.727787
1	2024	TX	Texas	$250.00	78739	30.17842	-97.888662
1	2024	TX	Texas	$250.00	78745	30.206851	-97.797384
1	2024	TX	Texas	$1,000.00	78704	30.243032	-97.765081
2	2024	TX	Texas	$4,300.00	78702	30.263378	-97.714483
1	2024	TX	Texas	$1,000.00	78701	30.270569	-97.742589
8	2024	TX	Texas	$5,500.00	78703	30.293268	-97.76605
3	2024	TX	Texas	$3,000.00	78705	30.294333	-97.738517
8	2024	TX	Texas	$12,800.00	78746	30.296865	-97.809578
1	2024	TX	Texas	$300.00	78738	30.319748	-97.958224
9	2024	TX	Texas	$2,101.00	78731	30.348236	-97.768136
3	2024	LA	Louisiana	$23.50	70820	30.36507	-91.203973
1	2024	TX	Texas	$1,000.00	78734	30.378736	-97.950592
17	2024	TX	Texas	$725.00	78759	30.402665	-97.761062
1	2024	TX	Texas	$1,000.00	78727	30.429937	-97.717796
1	2024	TX	Texas	$250.00	78613	30.503949	-97.8242
1	2024	TX	Texas	$200.00	78633	30.750244	-97.760498
2	2024	TX	Texas	$150.00	79912	31.848583	-106.534316
3	2024	SC	South Carolina	$4,300.00	29928	32.163171	-80.755765
13	2024	AZ	Arizona	$296.00	85741	32.335291	-111.041759
24	2024	SC	South Carolina	$922.50	29909	32.336836	-80.847799
2	2024	LA	Louisiana	$150.00	71106	32.378491	-93.730669
3	2024	MS	Mississippi	$300.00	39157	32.425874	-90.169852
6	2024	AZ	Arizona	$120.00	85739	32.621072	-110.989667
1	2024	SC	South Carolina	$1,000.00	29455	32.624718	-80.040587
3	2024	SC	South Carolina	$250.00	29412	32.711469	-79.952603
2	2024	TX	Texas	$60.00	76116	32.720723	-97.447033
1	2024	CA	California	$250.00	92019	32.776012	-116.880634
1	2024	CA	California	$250.00	92109	32.786772	-117.234207
1	2024	TX	Texas	$1,000.00	75201	32.78776	-96.799427
5	2024	TX	Texas	$2,525.00	75219	32.811813	-96.812898
