committee_id,count,cycle,state,state_full,total
C00413914,2009,2024,NY,New York,"$1,379,056.83"
C00413914,480,2024,CA,California,"$402,604.00"
C00413914,193,2024,TX,Texas,"$119,704.00"
C00413914,169,2024,MA,Massachusetts,"$126,307.00"
C00413914,153,2024,NJ,New Jersey,"$86,208.50"
C00413914,126,2024,CT,Connecticut,"$43,402.50"
C00413914,89,2024,OH,Ohio,"$4,611.51"
C00413914,89,2024,PA,Pennsylvania,"$22,984.00"
C00413914,78,2024,AZ,Arizona,"$2,778.64"
C00413914,76,2024,FL,Florida,"$38,966.00"
C00413914,65,2024,WA,Washington,"$14,390.00"
C00413914,51,2024,DC,District Of Columbia,"$46,735.00"
C00413914,49,2024,MD,Maryland,"$32,076.69"
C00413914,49,2024,VA,Virginia,"$18,659.01"
C00413914,41,2024,GA,Georgia,"$3,935.50"
C00413914,39,2024,CO,Colorado,"$4,527.50"
C00413914,39,2024,MI,Michigan,"$9,287.50"
C00413914,33,2024,IL,Illinois,"$15,180.50"
C00413914,32,2024,SC,South Carolina,"$6,722.50"
C00413914,26,2024,NE,Nebraska,$547.00
C00413914,24,2024,ME,Maine,"$1,226.50"
C00413914,21,2024,NC,North Carolina,"$10,820.00"
C00413914,18,2024,OR,Oregon,"$1,042.50"
C00413914,12,2024,ZZ,Foreign Countries,"$19,175.00"
C00413914,12,2024,RI,Rhode Island,$635.00
C00413914,10,2024,IA,Iowa,$160.50
C00413914,10,2024,OK,Oklahoma,"$13,418.00"
C00413914,10,2024,WI,Wisconsin,"$1,275.00"
C00413914,9,2024,MT,Montana,$250.00
C00413914,9,2024,NH,New Hampshire,"$3,612.50"
C00413914,8,2024,IN,Indiana,$360.00
C00413914,8,2024,NM,New Mexico,"$1,175.00"
C00413914,8,2024,TN,Tennessee,"$4,729.33"
C00413914,8,2024,WY,Wyoming,"$1,300.00"
C00413914,6,2024,AL,Alabama,$120.00
C00413914,6,2024,DE,Delaware,"$1,700.00"
C00413914,6,2024,KS,Kansas,$600.00
C00413914,6,2024,MO,Missouri,$150.00
C00413914,5,2024,LA,Louisiana,$173.50
C00413914,5,2024,MN,Minnesota,"$1,350.00"
C00413914,5,2024,NV,Nevada,"$14,200.00"
C00413914,5,2024,WV,West Virginia,$322.50
C00413914,4,2024,HI,Hawaii,"$3,073.00"
C00413914,3,2024,KY,Kentucky,"$6,610.00"
C00413914,3,2024,MS,Mississippi,$300.00
C00413914,3,2024,VT,Vermont,"$2,300.00"
C00413914,2,2024,AR,Arkansas,"$1,250.00"
C00413914,2,2024,ID,Idaho,$50.00
C00413914,2,2024,SD,South Dakota,"$4,000.00"
C00413914,1,2024,AK,Alaska,$250.00
